id,n,cubic.a,cubic.b1,cubic.b2,cubic.b3,cubic.Rsq,cubic.aic,cubic.bic,cubic.aicc
401,6,-0.002500996967854765,0.12553309418151443,-2.090757338155314,55.02160467819013,0.969785776778689,35.61469915951413,34.78173703642635,75.61469915951413
403,7,-0.00599474781990152,0.33290327263835473,-3.4432855349972553,47.631655975344614,0.8159518357080208,57.88909588425781,57.67273648047907,77.88909588425781
404,6,-0.0016676285004598344,0.07887807850631298,-0.9045586277632626,30.47161523419124,0.9309975505765058,31.9530582021103,31.120096079022517,71.9530582021103
406,7,-0.005114879329199764,0.2470344831778354,-1.0649399648906928,29.304881976387506,0.836444128862242,58.46038329723713,58.24402389345838,78.46038329723713
407,6,-0.0029039751073749783,0.1295326022136087,-0.6377561754454345,23.688383630283685,0.7500716948434907,46.38125098583099,45.548288862743206,86.38125098583099
409,7,-0.020584814171062105,1.0899477104160518,-12.83067098750959,235.58749475131384,0.9751901037786983,66.19184147305633,65.97548206927758,86.19184147305633
410,6,-0.02809664848723276,1.6349788995403773,-26.72266280818281,278.79582859163474,0.9298988140140794,56.169028136106185,55.3360660130184,96.16902813610619
412,6,-0.015414021380223087,0.840523663412348,-10.816287612581508,124.26871708062193,0.9249024943914085,53.021419168017246,52.188457044929464,93.02141916801725
415,6,-0.007785868031955929,0.4156387467344418,-4.066860497210137,62.09770514890841,0.8992532862845153,49.43162327505217,48.598661151964386,89.43162327505217
416,6,-0.005432392210914696,0.30546053640673093,-4.624484646207178,59.84025043265092,0.7860349911897812,48.21809991704155,47.38513779395377,88.21809991704154
418,6,-0.00491114404721394,0.21071506876048576,0.1242452590341563,45.020172763206006,0.9470556769052534,44.94761606762005,44.114653944532265,84.94761606762005
419,6,-0.0043079116237821164,0.2215569237208074,-2.63848977822042,53.52981892609104,0.9427142397075694,38.72317378261544,37.89021165952766,78.72317378261545
421,6,-0.005425929184813008,0.2596619255452953,-1.1799877939348054,86.41743093791452,0.8418384060377695,51.554082506794835,50.72112038370705,91.55408250679483
422,6,-0.008230085782772723,0.4723088014153713,-7.73501353897353,110.22739870289567,0.8529282517896601,51.15299039558386,50.32002827249608,91.15299039558386
443,6,-3.198154135779336,224.60114824446475,-4419.573090968451,26766.537555172643,0.9893955668455782,99.1410852349863,98.30812311189852,139.1410852349863
444,6,-0.9998367568879355,56.36286653469563,-627.6473967827818,1849.0420417128073,0.989922275955729,92.53194189542342,91.69897977233563,132.53194189542342
446,6,-0.3761170252173082,27.17630923349026,-544.0085953315852,3329.6024799170673,0.9575627272014959,83.29552320665404,82.46256108356626,123.29552320665404
451,6,-0.5223001242073867,35.153069452543875,-631.3457767690153,3480.2519134298177,0.983405822825242,82.68732169470417,81.85435957161638,122.68732169470417
454,6,-0.4323854741850879,31.542083495237065,-645.145139017125,4064.26559441131,0.9615055172583631,83.6689493340585,82.83598721097071,123.6689493340585
459,6,0.0030552152320253,-0.09462198075602206,1.8036671224458827,-1.269294009605631,0.9940367378237758,27.596048908255757,26.763086785167978,67.59604890825575
460,6,8.116320262736353e-05,0.008268265830406345,0.1763309297407067,1.0952778812970794,0.9995124292831571,-0.7813928807644839,-1.614355003852264,39.218607119235514
461,7,0.00016780344965277902,2.2122590029696494e-05,0.21524095382639008,0.32872338328570866,0.9998412072242543,-16.2534226999985,-16.469782103777245,3.7465773000015012
485,8,0.017347776952199218,-0.8485629145399979,15.155133241321614,-73.02703363347075,0.9998054560232527,-10.467531384700898,-10.149765217981555,2.865801948632436
