id,n,sch.B0,sch.E,sch.Th,sch.Eh,sch.chisqr,sch.Rsq,sch.aic,sch.bic,sch.aicc,sch.Rsq_log,sch.aic_log,sch.bic_log,sch.aicc_log
75,6,918.758852088555,3.397193003950748,274.21948583995993,3.6152494468392717,0.13863875949537252,0.855469625548088,25.97933692956285,25.146374806475073,65.97933692956285,0.9790604949000148,3.58844197230583,4.42140409539361,44.42140409539361
76,9,3.908909917617215,0.377881783808836,308.8019501905162,2.438483091632128,0.2904636264822936,0.8209326416523641,35.11590736156299,35.90480567090787,45.11590736156299,0.9131145873475838,5.428278425842928,4.6393801164980495,14.63938011649805
77,7,7.0439880935827945,0.09389768085867238,313.51481999489494,2.713995371859415,0.0007146971232835371,0.9987647358325371,-5.63467960674463,-5.851039010523377,14.36532039325537,0.9995745996765674,-34.67815294400517,-34.461793540226424,-14.461793540226424
79,9,12.860141,43.092262309838965,298.15,430.92262309838964,,,,,,,,,
80,7,22.352001929997172,0.4698462854936469,301.55220320282274,1.480572361083159,0.05914707704090343,0.9160692157080849,43.719438358587624,43.50307895480888,63.719438358587624,0.9562050657209958,-3.766687723070924,-3.550328319292177,16.449671680707823
81,7,22.034829299792225,0.5834148823477531,302.65068141055593,1.517772253081903,0.05399828332222059,0.931570641211271,47.6921030629935,47.47574365921476,67.69210306299351,0.9711185349378593,-4.404212145067562,-4.187852741288815,15.812147258711185
83,8,0.6956521999999999,18.12772638021204,299.555798,181.2772638021204,,,,,,,,,
84,9,0.46717444,14.889408730316662,298.24310499999996,148.89408730316663,,,,,,,,,
85,7,806.356049706468,3.887664834491283,273.05445489767175,3.8264661656514223,0.009608799772942758,0.9517354798946386,-4.0330981090659215,-4.2494575128446685,15.966901890934079,0.9674089646393844,-16.48812268377942,-16.271763280000673,3.7282367199993267
107,19,11.381816189259089,0.8489814815174836,306.5839026943131,1.4910533733243685,0.21742274598598718,0.930447931545915,131.58851535360895,135.36627127027472,134.44565821075182,0.9535983521634003,-17.239242391654216,-21.016998308319977,-18.15985545117712
109,6,9.145350429001581,0.4850865336942945,301.52070501154446,1.3575802749056545,0.001532093331400851,0.9922798336209365,8.68877157008594,7.855809446998159,48.68877157008594,0.9937594102938907,-23.44297826943665,-22.61001614634887,17.38998385365113
110,7,4.396652586888234,0.5786730588060173,293.0649120829776,1.0975620543560096,0.0005808408354079142,0.9978419831495922,-16.959031579985098,-17.175390983763844,3.0409684200149023,0.9981524699408295,-36.12982749849176,-35.91346809471301,-15.91346809471301
112,8,2.5192319029897665,0.5851619518179585,297.2737461800332,1.5803343000682795,0.011871089893464873,0.9734180021833863,-0.04504770069987174,0.27271846601947125,13.288285632633462,0.9849192325434024,-19.08394367874599,-19.40170984546533,-6.068376512131996
114,7,2.2742229606243294,0.657614835437017,294.96920812329023,1.3323548998517323,0.005108121603610708,0.9898904203762359,-8.667268756495009,-8.883628160273755,11.332731243504991,0.9907763615418227,-20.911055724455093,-20.694696320676346,-0.6946963206763463
116,12,2.302263361573018,1.0006417399784345e-06,318.03859291247,10.316986723669622,0.33990142719206407,0.7956776397536484,19.725798377384688,21.66542497653669,25.440084091670403,0.9601436536762101,3.2260761174456736,1.2864495182936722,7.000735232579387
117,14,2.384379911870034,0.16746538617974444,317.94850939384634,2.266758316766377,0.05050494518419929,0.9406973047873831,2.4851042790647355,5.041333597525769,6.92954872350918,0.9658093083589917,-26.459870689198993,-29.01610000766003,-24.571655563215586
118,14,2.486830100481743,0.2668744710831328,318.06137942065646,1.3061670544502828,0.03363922872251827,0.9600242456242563,-0.1258514642621087,2.430377854198925,4.318592980182336,0.9586101037791852,-32.149167567879104,-34.70539688634014,-30.260952441895697
138,7,8.755766133853529,0.44709736175815995,315.3409600612679,2.354291594312808,0.0047526767626425385,0.9829899821853987,25.454084055952876,25.23772465217413,45.454084055952876,0.9868728910264575,-21.41592201706779,-21.199562613289043,-1.199562613289043
139,8,21.714867354825998,0.36750606972096067,311.23621203335557,2.457404538067367,0.01177252681092126,0.96335430983728,40.749374531065435,41.06714069778478,54.08270786439877,0.9676251173870528,-19.150643222881712,-19.468409389601053,-6.135076056267719
140,10,51.1274875,15.374693005759468,307.77104799999995,153.74693005759468,,,,,,,,,
141,8,7.968321064528948,0.7561863013327396,309.5329749883096,2.7318752341133345,0.19114337253699812,0.8733194437429694,61.560603916517934,61.87837008323728,74.89393724985126,0.9645812282490963,3.1473984367873538,2.8296322700680108,16.162965603401346
142,16,15.871795,20.9452405046521,299.15,209.45240504652102,,,,,,,,,
143,8,1.4952485014690058,0.6377643774952741,302.40474199266185,5.262397801966716,0.28861569607905924,0.8075122930723376,24.615827503329015,24.93359367004836,37.94916083666235,0.9155374948390212,6.443976387331762,6.126210220612419,19.459543553945753
144,7,47.4945115145051,0.38241578505324486,306.3811743249606,3.2541522727565013,0.0030168131781729826,0.9945473718107413,38.42981852091935,38.2134591171406,58.42981852091935,0.9968395980306411,-24.597470688673774,-24.381111284895027,-4.381111284895027
146,7,70.39699539627391,1.2378106366107628,283.9892745663127,1.2563549255011133,0.015207494309078608,0.9725020918955909,46.53827469645442,46.321915292675676,66.53827469645442,0.9889673964658637,-13.27435946421344,-13.058000060434694,6.9419999395653065
148,8,14.907631556761721,0.9285790117780558,308.0250383708024,2.7239894926652166,1.0315210521111562,0.6996806319331017,81.95246939894507,82.27023556566441,95.2858027322784,0.8888363270196461,16.633526064888287,16.315759898168942,29.649093231502277
158,8,20.37657356273954,0.7858034442443896,287.4160276775087,1.1247978312117226,0.015489330884379596,0.9610560331757769,23.667140372886237,23.984906539605582,37.00047370621957,0.9617545820634102,-16.955580212283387,-17.273346379002728,-3.940013045669394
159,9,9.632208441773544,0.7943615480015029,295.57659350771695,1.233706926311279,0.020160394248679585,0.9722734145222094,30.66195789928826,31.45085620863314,40.66195789928826,0.9870168950294097,-18.58154680885383,-19.37044511819871,-9.37044511819871
160,8,28.335945941994794,1.8864989705423192,281.9381770440501,2.026616606148995,0.0031844212316151244,0.9913787761652285,12.811339765113882,13.129105931833225,26.144673098447214,0.9962663577073976,-29.610627422555446,-29.92839358927479,-16.595060255941455
161,9,13.573758311979573,1.2296280404448339,285.9924167502755,1.409590951911158,0.013730862940658716,0.9713804595953063,23.165997735048855,23.954896044393735,33.165997735048855,0.9842564993220527,-22.0382121829335,-22.82711049227838,-12.82711049227838
162,8,10.439986498480526,0.6119837999223283,294.79679647289277,1.1433793529170162,0.047240579049723265,0.9030004764817144,29.9929333264902,30.31069949320954,43.32626665982353,0.9275511708884281,-8.034765876350958,-8.352532043070301,4.980801290263033
163,8,19.62830770825735,1.2077915168583144,280.71028291180687,1.2859939534647709,0.022050026865419254,0.9003742373007102,21.704646283940534,22.02241245065988,35.03797961727387,0.9381005625285928,-14.130281305073892,-14.448047471793235,-1.1147141384599006
164,8,10.595140064947575,0.7540337420107326,294.6323280588785,1.3482067526313728,0.008375752487309875,0.9911719709002307,16.61075803283792,16.928524199557266,29.944091366171257,0.9920317416769225,-21.874064484054003,-22.191830650773344,-8.85849731744001
165,9,6.298907685065527,0.7217655695148494,296.45935065435077,1.204086237274526,0.010357918921517193,0.9856159924345084,14.961089101190396,15.749987410535276,24.961089101190396,0.9913330026883982,-24.575264736672167,-25.364163046017048,-15.364163046017048
166,7,27.724142759780385,0.7948584229845869,287.0569479674285,0.9946169907243185,0.006755394589555148,0.9733783239530363,26.648395654498437,26.43203625071969,46.64839565449844,0.9860437259528023,-18.954488246139324,-18.738128842360577,1.2618711576394226
167,9,11.844000627912964,0.44892858087598997,308.203425491943,1.5733607605236848,0.04611076916371757,0.9423203221346839,44.28048102505154,45.06937933439642,54.28048102505154,0.9705876537199949,-11.13560805557284,-11.924506364917718,-1.9245063649177183
168,8,15.302793646016635,0.610342942117737,296.5052535419692,1.129529745206159,0.02763630709324546,0.9383251551687143,34.79385398075014,35.11162014746948,48.12718731408348,0.9612615694658061,-12.323748806200348,-12.64151497291969,0.6918183604136434
169,8,14.931615512028124,0.9239766010547747,289.6327239617562,1.1544420135203015,0.0012231315405043246,0.9972101473224462,9.181603303342486,9.49936947006183,22.51493663667582,0.9985692188009156,-37.26547661509476,-37.58324278181411,-24.24990944848077
170,7,13.966355566249778,0.36424747664469437,304.3333522496178,1.1592186839599845,0.0006126782861055104,0.9987430208228048,1.4828304390184623,1.2664710352397153,21.482830439018464,0.9985374460115274,-35.756285032114356,-35.53992562833561,-15.53992562833561
171,8,10.949084071537763,0.22896954562511293,310.3646842809388,1.4316581347389825,0.003326867941252759,0.9862847118427253,11.732055336418453,12.049821503137796,25.065388669751787,0.988003243727946,-29.260541441640875,-29.57830760836022,-16.244974275026884
172,7,14.202295595020631,0.6562667909503431,297.182256815791,1.1688522508526968,0.0025507127245893613,0.9944965183801966,18.019810288479864,17.803450884701117,38.01981028847986,0.9973235148571029,-25.772268195480002,-25.555908791701256,-5.555908791701256
173,8,7.340446285768104,0.5332666930317945,304.7805785156057,1.6793436058952858,0.03366766752288286,0.975184280694741,26.587218906910778,26.904985073630122,39.92055224024411,0.9769101829301905,-10.744488218231831,-11.062254384951174,2.2710789483821596
174,7,10.115716373300678,0.5876996527466916,298.53938452074675,1.4810587903851953,0.024896772660726447,0.9595769058362603,26.56725597838589,26.350896574607145,46.56725597838589,0.9694182546712022,-9.82371065381652,-9.607351250037773,10.392648749962227
175,7,9.217140632608892,0.7828095218866297,291.23139231548004,1.235534590590457,0.005567374819154087,0.9838595639449447,12.390898208577369,12.17453880479862,32.39089820857737,0.991015229783308,-20.30841248537767,-20.092053081598923,-0.09205308159892311
176,7,4.4629962336412285,0.5102370895474183,298.48522626030064,1.5560005958983956,0.008139753818702213,0.977313466623641,8.223171388101479,8.00681198432273,28.223171388101477,0.9874540788333894,-17.649558382094458,-17.433198978315712,2.566801021684288
177,7,7.981470972514754,0.7093913101348565,293.11157853840814,1.297808330817375,0.025598675622647185,0.9273278201579321,22.06192865295004,21.845569249171295,42.061928652950044,0.9595354967601453,-9.629093618576835,-9.412734214798089,10.587265785201911
178,7,8.489277530939162,0.5368524404083191,296.32864473989304,1.3394860428480166,0.004664478264172863,0.9897505859258521,8.357073477009838,8.140714073231091,28.357073477009838,0.9907960741193015,-21.547046022204515,-21.33068661842577,-1.3306866184257693
179,7,9.397468967860533,0.41607817664736996,302.3423916945314,1.4309460931272697,0.011024175513432878,0.96793751797371,20.215348774953796,19.99898937117505,40.215348774953796,0.9777978658959281,-15.526243488954698,-15.309884085175952,4.690115914824048
180,7,7.279184238223865,0.4395250218764458,298.9920233294173,1.465079947853706,0.006792857709120171,0.9828940989123672,10.610278744471369,10.393919340692623,30.61027874447137,0.9867898674970139,-18.915775872092123,-18.699416468313377,1.3005835316866232
181,7,6.516058055669096,0.4717683420413533,299.1970467775793,1.3415337708068158,0.007725763583755011,0.9797480436143148,10.723973269859561,10.507613866080813,30.723973269859563,0.9840017727393687,-18.014953289328577,-17.79859388554983,2.201406114450169
