"id","n","traits","Quadratic","Cubic","Briere","Schoolfield","quad_delta","cubic_delta","bri_delta","sch_delta","sch_best"
"454","6","photosynthesis",93.442534731372,82.8359872109707,76.9232863787421,87.0552701537793,16.5192483526299,5.91270083222859,0,10.1319837750372,0
"459","6","photosynthesis",31.970396014305,26.763086785168,32.6248148840209,44.734991260874,5.207309229137,0,5.8617280988529,17.971904475706,0
"460","6","photosynthesis",-2.42989346869463,-1.61435500385226,15.6108495069634,14.1180483789664,0,0.81553846484237,18.040742975658,16.547941847661,0
"461","7","photosynthesis",-9.47666406054165,-16.4697821037772,4.24343688347598,13.5714968978993,6.99311804323555,0,20.7132189872532,30.0412790016765,0
"485","8","photosynthesis",12.8700524153734,-10.1497652179816,23.6893633586653,19.4176918164137,23.019817633355,0,33.8391285766469,29.5674570343953,0
"487","8","photosynthesis",-5.59298366922144,-7.52197039623197,-6.91464283134263,-7.97424811314431,2.38126444392287,0.45227771691234,1.05960528180168,0,1
"505","7","photosynthesis",53.943906093321,47.9359154671155,48.3206139946985,43.7174136707517,10.2264924225693,4.2185017963638,4.6032003239468,0,1
"573","12","photosynthesis",56.834810559637,58.5803457673927,55.9397222420587,57.0304190530802,0.895088317578299,2.640623525334,0,1.0906968110215,1
"574","12","photosynthesis",50.2397169071187,51.1811937146614,52.8775812161079,50.5417807341233,0,0.941476807542699,2.6378643089892,0.302063827004602,1
"575","12","photosynthesis",49.1605609873199,51.4388166614802,49.7620596016782,51.681986970554,0,2.27825567416031,0.601498614358306,2.5214259832341,0
"576","12","photosynthesis",58.3201009724491,60.8031339714675,59.5983565619387,61.7547188457333,0,2.48303299901841,1.2782555894896,3.4346178732842,0
"577","12","photosynthesis",74.7042294194358,73.6952922827245,71.4730639907101,74.5632157203751,3.2311654287257,2.22222829201439,0,3.090151729665,0
"587","6","photosynthesis",-23.1836199289809,-21.3946981589017,-10.2445318634157,-17.5853438856566,0,1.7889217700792,12.9390880655652,5.5982760433243,0
"588","6","photosynthesis",1.69001430135721,-2.56524422255876,-10.1066918254337,-1.74501630675249,11.7967061267909,7.54144760287494,0,8.36167551868121,0
"589","6","photosynthesis",9.16556296806138,-0.994150162418283,-3.51480267169082,-13.5975893534228,22.7631523214842,12.6034391910045,10.082786681732,0,1
"590","7","photosynthesis",8.40600819490677,6.39875393727149,-4.92282670371284,-13.0428940948401,21.4489022897469,19.4416480321116,8.12006739112726,0,1
"591","8","photosynthesis",4.22687993453672,4.35254999037579,-12.8827448889066,-8.95738091348993,17.1096248234433,17.2352948792824,0,3.92536397541667,0
"592","29","photosynthesis",19.0144640915411,-15.8249675017506,-31.7033429140647,-19.5918885355812,50.7178070056058,15.8783754123141,0,12.1114543784835,0
"593","7","photosynthesis",4.69526302437754,-4.85799873952455,-6.94240690359848,-17.8959899422995,22.591252966677,13.037991202775,10.953583038701,0,1
